詩經韻腳字,上古韻部,廣韻字頭,中古韻部,中原音韻字頭,近代韻部
水,上古：微,槻,中古：支A,騭,近代：齊微
薄,上古：鐸,規,中古：支A,汁,近代：齊微
鞹,上古：鐸,鬹,中古：支A,只,近代：齊微
夕,上古：鐸,𨾚,中古：支A,七,近代：齊微
濟,上古：脂,摫,中古：支A,戚,近代：齊微
濔,上古：脂,劑,中古：支A,漆,近代：齊微
弟,上古：脂,㭰,中古：支A,刺,近代：齊微
湯,上古：陽,𦸺,中古：支A,匹,近代：齊微
彭,上古：陽,臇,中古：支A,闢,近代：齊微
蕩,上古：陽,𤎱,中古：支A,劈,近代：齊微
翔,上古：陽,㷷,中古：支A,壁,近代：齊微
滔,上古：幽,衰,中古：支B,吉,近代：齊微
儦,上古：宵,夊,中古：支B,擊,近代：齊微
敖,上古：宵,腄,中古：支B,激,近代：齊微
昌,上古：陽,箠,中古：支B,��,近代：齊微
長,上古：陽,㩾,中古：支B,棘,近代：齊微
揚,上古：陽,䮔,中古：支A,戟,近代：齊微
揚,上古：陽,眵,中古：支A,急,近代：齊微
蹌,上古：陽,䌳,中古：支A,汲,近代：齊微
臧,上古：陽,齜,中古：支B,給,近代：齊微
名,上古：耕,𤿎,中古：支A,筆,近代：齊微
清,上古：耕,䔺,中古：支A,北,近代：齊微
成,上古：耕,𩁌,中古：支A,易,近代：齊微
正,上古：耕,蠵,中古：支A,麂,近代：齊微
甥,上古：耕,欈,中古：支A,失,近代：齊微
孌,上古：元,𧲚,中古：支A,奭,近代：齊微
婉,上古：元,䝐,中古：支A,室,近代：齊微
選,上古：元,齹,中古：支B,識,近代：齊微
貫,上古：元,脂,中古：脂A,適,近代：齊微
反,上古：元,祗,中古：脂A,拭,近代：齊微
亂,上古：元,泜,中古：脂A,軾,近代：齊微
霜,上古：陽,砥,中古：脂A,飾,近代：齊微
裳,上古：陽,栺,中古：脂A,釋,近代：齊微
襋,上古：職,鴲,中古：脂A,濕,近代：齊微
服,上古：職,㴯,中古：脂A,積,近代：齊微
提,上古：支,疻,中古：脂A,稷,近代：齊微
辟,上古：錫,䓜,中古：脂A,績,近代：齊微
揥,上古：錫,𥁼,中古：脂A,跡,近代：齊微
刺,上古：錫,姨,中古：脂A,脊,近代：齊微
洳,上古：魚,彝,中古：脂A,鯽,近代：齊微
莫,上古：鐸,寅,中古：脂A,必,近代：齊微
度,上古：鐸,夷,中古：脂A,畢,近代：齊微
度,上古：鐸,峓,中古：脂A,蹕,近代：齊微
路,上古：鐸,恞,中古：脂A,篳,近代：齊微
方,上古：陽,眱,中古：脂A,碧,近代：齊微
桑,上古：陽,㰘,中古：脂A,璧,近代：齊微
英,上古：陽,珆,中古：脂A,昔,近代：齊微
英,上古：陽,蔩,中古：脂A,惜,近代：齊微
行,上古：陽,𡰥,中古：脂A,息,近代：齊微
曲,上古：屋,痍,中古：脂A,錫,近代：齊微
藚,上古：屋,䧅,中古：脂A,淅,近代：齊微
玉,上古：屋,荑,中古：脂A,尺,近代：齊微
玉,上古：屋,桋,中古：脂A,赤,近代：齊微
族,上古：屋,蛦,中古：脂A,喫,近代：齊微
桃,上古：宵,胰,中古：脂A,勑,近代：齊微
殽,上古：宵,鮧,中古：脂A,叱,近代：齊微
謠,上古：宵,羠,中古：脂A,䳵,近代：齊微
驕,上古：宵,羨,中古：脂A,的,近代：齊微
哉,上古：之,鏔,中古：脂A,靮,近代：齊微
其,上古：之,𢓡,中古：脂A,嫡,近代：齊微
之,上古：之,鴺,中古：脂A,滴,近代：齊微
之,上古：之,𡱐,中古：脂A,德,近代：齊微
思,上古：之,跠,中古：脂A,得,近代：齊微
棘,上古：職,洟,中古：脂A,滌,近代：齊微
食,上古：職,師,中古：脂B,剔,近代：齊微
國,上古：職,鰤,中古：脂B,踢,近代：齊微
極,上古：職,蒒,中古：脂B,吸,近代：齊微
哉,上古：之,篩,中古：脂B,隙,近代：齊微
其,上古：之,獅,中古：脂B,翕,近代：齊微
之,上古：之,螄,中古：脂B,檄,近代：齊微
之,上古：之,𣬈,中古：脂A,覡,近代：齊微
思,上古：之,毗,中古：脂A,乞,近代：齊微
岵,上古：魚,比,中古：脂A,泣,近代：齊微
父,上古：魚,琵,中古：脂A,訖,近代：齊微
子,上古：之,㮰,中古：脂A,國,近代：齊微
已,上古：之,芘,中古：脂A,黑,近代：齊微
止,上古：之,沘,中古：脂A,一,近代：齊微
屺,上古：之,貔,中古：脂A,未,近代：齊微
母,上古：之,豼,中古：脂A,味,近代：齊微
季,上古：質,膍,中古：脂A,胃,近代：齊微
寐,上古：物,肶,中古：脂A,衛,近代：齊微
棄,上古：質,蚍,中古：脂A,蝟,近代：齊微
岡,上古：陽,𧖈,中古：脂A,渭,近代：齊微
兄,上古：陽,枇,中古：脂A,謂,近代：齊微
弟,上古：脂,仳,中古：脂A,��,近代：齊微
偕,上古：脂,𨈚,中古：脂A,尉,近代：齊微
死,上古：脂,魮,中古：脂A,慰,近代：齊微
間,上古：元,鈚,中古：脂A,緯,近代：齊微
閑,上古：元,𦳈,中古：脂A,穢,近代：齊微
還,上古：元,𦊁,中古：脂A,魏,近代：齊微
外,上古：月,阰,中古：脂A,畏,近代：齊微
泄,上古：月,𧑜,中古：脂A,餧,近代：齊微
逝,上古：月,鵧,中古：脂A,位,近代：齊微
檀,上古：元,咨,中古：脂A,飫,近代：齊微
幹,上古：元,資,中古：脂A,貴,近代：齊微
漣,上古：元,粢,中古：脂A,跪,近代：齊微
廛,上古：元,𪗉,中古：脂A,櫃,近代：齊微
貆,上古：元,𪗋,中古：脂A,餽,近代：齊微
餐,上古：元,𧞓,中古：脂A,愧,近代：齊微
輻,上古：職,諮,中古：脂A,桂,近代：齊微
側,上古：職,姿,中古：脂A,檜,近代：齊微
直,上古：職,齍,中古：脂A,膾,近代：齊微
億,上古：職,澬,中古：脂A,鱠,近代：齊微
特,上古：職,𣳩,中古：脂A,獪,近代：齊微
食,上古：職,齎,中古：脂A,繪,近代：齊微
輪,上古：文,蒫,中古：脂A,吠,近代：齊微
漘,上古：文,𩆂,中古：脂A,沸,近代：齊微
淪,上古：文,𩄚,中古：脂A,費,近代：齊微
囷,上古：文,飢,中古：脂B,肺,近代：齊微
鶉,上古：文,机,中古：脂B,廢,近代：齊微
飧,上古：文,肌,中古：脂B,芾,近代：齊微
鼠,上古：魚,虮,中古：脂B,會,近代：齊微
黍,上古：魚,鴟,中古：脂A,晦,近代：齊微
女,上古：魚,𨾦,中古：脂A,誨,近代：齊微
顧,上古：魚,𪀒,中古：脂A,諱,近代：齊微
女,上古：魚,胵,中古：脂A,惠,近代：齊微
土,上古：魚,𩶅,中古：脂A,蕙,近代：齊微
土,上古：魚,𧪡,中古：脂A,慧,近代：齊微
所,上古：魚,𨒬,中古：脂A,潰,近代：齊微
鼠,上古：魚,絺,中古：脂B,闠,近代：齊微
麥,上古：職,辴,中古：脂B,翠,近代：齊微
女,上古：魚,郗,中古：脂B,脆,近代：齊微
德,上古：職,𥭘,中古：脂B,顇,近代：齊微
女,上古：魚,脪,中古：脂B,倅,近代：齊微
國,上古：職,瓻,中古：脂B,萃,近代：齊微
國,上古：職,訵,中古：脂B,悴,近代：齊微
直,上古：職,郪,中古：脂A,淬,近代：齊微
鼠,上古：魚,趑,中古：脂A,焠,近代：齊微
苗,上古：宵,𨌅,中古：脂A,異,近代：齊微
女,上古：魚,趀,中古：脂A,瘞,近代：齊微
勞,上古：宵,𧾒,中古：脂A,劓,近代：齊微
女,上古：魚,𧠥,中古：脂A,裔,近代：齊微
郊,上古：宵,𡰾,中古：脂A,義,近代：齊微
郊,上古：宵,𡳠,中古：脂A,議,近代：齊微
號,上古：宵,蠀,中古：脂A,誼,近代：齊微
堂,上古：陽,茨,中古：脂A,毅,近代：齊微
莫,上古：鐸,薋,中古：脂A,藝,近代：齊微
除,上古：魚,薺,中古：脂A,易,近代：齊微
康,上古：陽,餈,中古：脂A,翳,近代：齊微
居,上古：魚,𩜴,中古：脂A,枻,近代：齊微
荒,上古：陽,垐,中古：脂A,曳,近代：齊微
瞿,上古：魚,䆅,中古：脂A,瞖,近代：齊微
堂,上古：陽,蠐,中古：脂A,詣,近代：齊微
逝,上古：月,瓷,中古：脂A,饐,近代：齊微
邁,上古：月,澬,中古：脂A,刈,近代：齊微
康,上古：陽,𥿆,中古：脂A,乂,近代：齊微
外,上古：月,𨌅,中古：脂A,意,近代：齊微
荒,上古：陽,𩆂,中古：脂A,懿,近代：齊微
蹶,上古：月,尼,中古：脂B,氣,近代：齊微
堂,上古：陽,柅,中古：脂B,器,近代：齊微
休,上古：幽,怩,中古：脂B,棄,近代：齊微
慆,上古：幽,蚭,中古：脂B,憩,近代：齊微
康,上古：陽,跜,中古：脂B,契,近代：齊微
憂,上古：幽,呢,中古：脂B,褉,近代：齊微
荒,上古：陽,𩚯,中古：脂B,霽,近代：齊微
休,上古：幽,䝚,中古：脂B,濟,近代：齊微
樞,上古：侯,墀,中古：脂B,祭,近代：齊微
榆,上古：侯,𡎰,中古：脂B,際,近代：齊微
婁,上古：侯,坻,中古：脂B,劑,近代：齊微
驅,上古：侯,泜,中古：脂B,替,近代：齊微
愉,上古：侯,遲,中古：脂B,剃,近代：齊微
栲,上古：幽,遟,中古：脂B,涕,近代：齊微
杻,上古：幽,蚳,中古：脂B,嚏,近代：齊微
埽,上古：幽,岻,中古：脂B,帝,近代：齊微
考,上古：幽,彽,中古：脂B,蔕,近代：齊微
保,上古：幽,阺,中古：脂B,諦,近代：齊微
漆,上古：質,荎,中古：脂B,締,近代：齊微
栗,上古：質,菭,中古：脂B,弟,近代：齊微
瑟,上古：質,謘,中古：脂B,娣,近代：齊微
日,上古：質,莉,中古：脂B,第,近代：齊微
室,上古：質,貾,中古：脂B,悌,近代：齊微
鑿,上古：藥,私,中古：脂A,地,近代：齊微
襮,上古：藥,鋖,中古：脂A,遞,近代：齊微
沃,上古：藥,厶,中古：脂A,棣,近代：齊微
樂,上古：藥,𦮺,中古：脂A,背,近代：齊微
皓,上古：幽,㺨,中古：脂A,被,近代：齊微
繡,上古：覺,尸,中古：脂A,貝,近代：齊微
鵠,上古：覺,鳲,中古：脂A,狽,近代：齊微
憂,上古：幽,屍,中古：脂A,焙,近代：齊微
粼,上古：真,蓍,中古：脂A,倍,近代：齊微
命,上古：真,鬐,中古：脂A,婢,近代：齊微
人,上古：真,𦓀,中古：脂A,備,近代：齊微
升,上古：蒸,耆,中古：脂A,避,近代：齊微
朋,上古：蒸,愭,中古：脂A,輩,近代：齊微
聊,上古：幽,𧡺,中古：脂A,弊,近代：齊微
條,上古：幽,𥉙,中古：脂A,幣,近代：齊微
匊,上古：覺,䅲,中古：脂A,臂,近代：齊微
篤,上古：覺,祁,中古：脂A,髲,近代：齊微
聊,上古：幽,𨪌,中古：脂A,詖,近代：齊微
條,上古：幽,鰭,中古：脂A,帔,近代：齊微
薪,上古：真,鮨,中古：脂A,利,近代：齊微
天,上古：真,伊,中古：脂A,隸,近代：齊微
人,上古：真,咿,中古：脂A,痢,近代：齊微
人,上古：真,蛜,中古：脂A,莉,近代：齊微
芻,上古：侯,黝,中古：脂A,俐,近代：齊微
隅,上古：侯,黟,中古：脂A,例,近代：齊微
逅,上古：侯,棃,中古：脂A,唳,近代：齊微
逅,上古：侯,梨,中古：脂A,戾,近代：齊微
楚,上古：魚,𠠍,中古：脂A,沴,近代：齊微
戶,上古：魚,秜,中古：脂A,離,近代：齊微
者,上古：魚,蜊,中古：脂A,癘,近代：齊微
者,上古：魚,蔾,中古：脂A,礪,近代：齊微
杜,上古：魚,犂,中古：脂A,厲,近代：齊微
湑,上古：魚,刕,中古：脂A,涖,近代：齊微
踽,上古：魚,𢤂,中古：脂A,荔,近代：齊微
父,上古：魚,鯬,中古：脂A,詈,近代：齊微
比,上古：脂,鑗,中古：脂A,劙,近代：齊微
佽,上古：脂,䴻,中古：脂A,麗,近代：齊微
菁,上古：耕,蟍,中古：脂A,砌,近代：齊微
睘,上古：耕,𨟀,中古：脂A,妻,近代：齊微
姓,上古：耕,葵,中古：脂A,細,近代：齊微
比,上古：脂,鄈,中古：脂A,壻,近代：齊微
佽,上古：脂,楑,中古：脂A,罪,近代：齊微
袪,上古：魚,𩹍,中古：脂A,醉,近代：齊微
居,上古：魚,𢜽,中古：脂A,最,近代：齊微
故,上古：魚,𦝢,中古：脂A,對,近代：齊微
褎,上古：幽,䳫,中古：脂A,隊,近代：齊微
究,上古：幽,𧍜,中古：脂A,碓,近代：齊微
好,上古：幽,追,中古：脂B,兌,近代：齊微
羽,上古：魚,䨨,中古：脂B,偈,近代：齊微
栩,上古：魚,娺,中古：脂B,計,近代：齊微
盬,上古：魚,龜,中古：脂B,記,近代：齊微
黍,上古：魚,𪚦,中古：脂B,寄,近代：齊微
怙,上古：魚,𠃾,中古：脂B,繫,近代：齊微
所,上古：魚,䟸,中古：脂B,既,近代：齊微
翼,上古：職,螝,中古：脂B,繼,近代：齊微
棘,上古：職,騩,中古：脂B,妓,近代：齊微
稷,上古：職,蕤,中古：脂A,驥,近代：齊微
食,上古：職,甤,中古：脂A,忮,近代：齊微
極,上古：職,緌,中古：脂A,技,近代：齊微
行,上古：陽,擩,中古：脂A,髻,近代：齊微
桑,上古：陽,桵,中古：脂A,忌,近代：齊微
粱,上古：陽,䅑,中古：脂A,季,近代：齊微
嘗,上古：陽,捼,中古：脂A,悸,近代：齊微
常,上古：陽,衰,中古：脂B,縊,近代：齊微
七,上古：質,榱,中古：脂B,騎,近代：齊微
吉,上古：質,𤸬,中古：脂B,冀,近代：齊微
六,上古：覺,惟,中古：脂A,薊,近代：齊微
燠,上古：覺,𣄧,中古：脂A,鱖,近代：齊微
左,上古：歌,維,中古：脂A,閉,近代：齊微
我,上古：歌,遺,中古：脂A,陛,近代：齊微
好,上古：幽,濰,中古：脂A,蔽,近代：齊微
食,上古：職,壝,中古：脂A,畀,近代：齊微
周,上古：幽,𥌰,中古：脂A,笓,近代：齊微
遊,上古：幽,蓶,中古：脂A,斃,近代：齊微
好,上古：幽,䜅,中古：脂A,嬖,近代：齊微
食,上古：職,琟,中古：脂A,庇,近代：齊微
楚,上古：魚,唯,中古：脂A,比,近代：齊微
野,上古：魚,𧔥,中古：脂A,秘,近代：齊微
處,上古：魚,㶟,中古：脂A,賁,近代：齊微
棘,上古：職,纍,中古：脂A,謎,近代：齊微
域,上古：職,虆,中古：脂A,籴,近代：齊微
息,上古：職,欙,中古：脂A,睡,近代：齊微
粲,上古：元,𤜖,中古：脂A,稅,近代：齊微
爛,上古：元,𡿔,中古：脂A,說,近代：齊微
旦,上古：元,㠥,中古：脂A,瑞,近代：齊微
夜,上古：鐸,𡤯,中古：脂A,退,近代：齊微
居,上古：魚,瓃,中古：脂A,蛻,近代：齊微
日,上古：質,𥍔,中古：脂A,歲,近代：齊微
室,上古：質,鸓,中古：脂A,遂,近代：齊微
苓,上古：真,儽,中古：脂A,碎,近代：齊微
巔,上古：真,纝,中古：脂A,粹,近代：齊微
信,上古：真,綏,中古：脂A,祟,近代：齊微
旃,上古：元,雖,中古：脂A,邃,近代：齊微
然,上古：元,荾,中古：脂A,繸,近代：齊微
言,上古：元,荽,中古：脂A,穗,近代：齊微
焉,上古：元,䒘,中古：脂A,燧,近代：齊微
苦,上古：魚,葰,中古：脂A,隧,近代：齊微
下,上古：魚,浽,中古：脂A,彗,近代：齊微
與,上古：魚,奞,中古：脂A,墜,近代：齊微
旃,上古：元,夊,中古：脂A,贅,近代：齊微
然,上古：元,睢,中古：脂A,綴,近代：齊微
言,上古：元,濉,中古：脂A,縋,近代：齊微
焉,上古：元,䅑,中古：脂A,懟,近代：齊微
葑,上古：東,逵,中古：脂B,智,近代：齊微
東,上古：東,夔,中古：脂B,製,近代：齊微
從,上古：東,𣦞,中古：脂B,制,近代：齊微
旃,上古：元,馗,中古：脂B,置,近代：齊微
然,上古：元,戣,中古：脂B,滯,近代：齊微
言,上古：元,鍨,中古：脂B,雉,近代：齊微
焉,上古：元,騤,中古：脂B,稚,近代：齊微
鄰,上古：真,犪,中古：脂B,致,近代：齊微
顛,上古：真,躨,中古：脂B,彘,近代：齊微
令,上古：真,𦝢,中古：脂B,治,近代：齊微
漆,上古：質,艽,中古：脂B,幟,近代：齊微
栗,上古：質,䟸,中古：脂B,熾,近代：齊微
瑟,上古：質,𠊾,中古：脂B,質,近代：齊微
耋,上古：質,𨾎,中古：脂B,世,近代：齊微
桑,上古：陽,頯,中古：脂B,勢,近代：齊微
楊,上古：陽,𠐽,中古：脂B,逝,近代：齊微
簧,上古：陽,𧢦,中古：脂B,誓,近代：齊微
亡,上古：陽,𢌳,中古：脂B,淚,近代：齊微
阜,上古：幽,頄,中古：脂B,累,近代：齊微
手,上古：幽,眉,中古：脂B,酹,近代：齊微
狩,上古：幽,睂,中古：脂B,擂,近代：齊微
碩,上古：鐸,嵋,中古：脂B,類,近代：齊微
獲,上古：鐸,湄,中古：脂B,纇,近代：齊微
園,上古：元,𤃱,中古：脂B,誄,近代：齊微
閑,上古：元,鶥,中古：脂B,耒,近代：齊微
鑣,上古：宵,楣,中古：脂B,磑,近代：齊微
驕,上古：宵,瑂,中古：脂B,配,近代：齊微
收,上古：幽,矀,中古：脂B,佩,近代：齊微
輈,上古：幽,覹,中古：脂B,珮,近代：齊微
驅,上古：侯,䉠,中古：脂B,轡,近代：齊微
續,上古：屋,黴,中古：脂B,霈,近代：齊微
轂,上古：屋,麋,中古：脂B,沛,近代：齊微
馵,上古：屋,蘪,中古：脂B,悖,近代：齊微
玉,上古：屋,郿,中古：脂B,誖,近代：齊微
屋,上古：屋,㵟,中古：脂B,妹,近代：齊微
曲,上古：屋,薇,中古：脂B,昧,近代：齊微
阜,上古：幽,𦗕,中古：脂B,媚,近代：齊微
手,上古：幽,葿,中古：脂B,袂,近代：齊微
中,上古：侵,攗,中古：脂B,魅,近代：齊微
驂,上古：侵,悲,中古：脂B,瑁,近代：齊微
合,上古：緝,錐,中古：脂A,寐,近代：齊微
軜,上古：緝,隹,中古：脂A,戯,近代：齊微
邑,上古：緝,𪋇,中古：脂A,戲,近代：齊微
期,上古：之,騅,中古：脂A,系,近代：齊微
之,上古：之,㮅,中古：脂A,係,近代：齊微
群,上古：文,䶆,中古：脂A,簣,近代：齊微
錞,上古：文,萑,中古：脂A,揆,近代：齊微
苑,上古：元,鵻,中古：脂A,蕢,近代：齊微
膺,上古：蒸,誰,中古：脂A,殢,近代：齊微
弓,上古：蒸,䜅,中古：脂A,膩,近代：齊微
縢,上古：蒸,脽,中古：脂A,泥,近代：齊微
興,上古：蒸,帷,中古：脂B,蚋,近代：齊微
音,上古：侵,邳,中古：脂B,芮,近代：齊微
蒼,上古：陽,鉟,中古：脂B,銳,近代：齊微
霜,上古：陽,䲹,中古：脂B,蜹,近代：齊微
方,上古：陽,岯,中古：脂B,吹,近代：齊微
長,上古：陽,魾,中古：脂B,喙,近代：齊微
央,上古：陽,䫠,中古：脂B,內,近代：齊微
萋,上古：脂,丕,中古：脂B,日,近代：齊微
晞,上古：微,㔻,中古：脂B,入,近代：齊微
湄,上古：脂,伾,中古：脂B,覓,近代：齊微
躋,上古：脂,秠,中古：脂B,蜜,近代：齊微
坻,上古：脂,䪹,中古：脂B,墨,近代：齊微
采,上古：之,駓,中古：脂B,密,近代：齊微
已,上古：之,怌,中古：脂B,僻,近代：齊微
涘,上古：之,䫠,中古：脂B,謁,近代：齊微
右,上古：之,豾,中古：脂B,皪,近代：齊微
沚,上古：之,髬,中古：脂B,立,近代：齊微
梅,上古：之,魾,中古：脂B,粒,近代：齊微
裘,上古：之,鉟,中古：脂B,笠,近代：齊微
哉,上古：之,倠,中古：脂A,曆,近代：齊微
堂,上古：陽,婎,中古：脂A,歷,近代：齊微
裳,上古：陽,睢,中古：脂A,櫪,近代：齊微
將,上古：陽,眭,中古：脂A,瀝,近代：齊微
亡,上古：陽,𢊄,中古：脂A,癧,近代：齊微
棘,上古：職,鎚,中古：脂B,靂,近代：齊微
息,上古：職,椎,中古：脂B,力,近代：齊微
息,上古：職,槌,中古：脂B,栗,近代：齊微
特,上古：職,桘,中古：脂B,液,近代：齊微
穴,上古：質,顀,中古：脂B,逸,近代：齊微
栗,上古：質,推,中古：脂A,邑,近代：齊微
天,上古：真,蓷,中古：脂A,埸,近代：齊微
人,上古：真,胝,中古：脂B,譯,近代：齊微
身,上古：真,疷,中古：脂B,驛,近代：齊微
桑,上古：陽,秪,中古：脂B,益,近代：齊微
行,上古：陽,氐,中古：脂B,溢,近代：齊微
行,上古：陽,紕,中古：脂A,鎰,近代：齊微
防,上古：陽,𢻹,中古：脂A,鷁,近代：齊微
穴,上古：質,𦀘,中古：脂A,腋,近代：齊微
栗,上古：質,𧧺,中古：脂A,掖,近代：齊微
人,上古：真,悂,中古：脂A,疫,近代：齊微
身,上古：真,𢞗,中古：脂A,役,近代：齊微
楚,上古：魚,嶉,中古：脂A,一,近代：齊微
虎,上古：魚,檇,中古：脂A,佾,近代：齊微
虎,上古：魚,巋,中古：脂B,泆,近代：齊微
禦,上古：魚,蘬,中古：脂B,逆,近代：齊微
穴,上古：質,狋,中古：脂B,乙,近代：齊微
栗,上古：質,咦,中古：脂A,憶,近代：齊微
天,上古：真,忾,中古：脂A,揖,近代：齊微
人,上古：真,䐅,中古：脂A,射,近代：齊微
身,上古：真,𣢂,中古：脂A,翊,近代：齊微
風,上古：侵,屎,中古：脂A,翼,近代：齊微
林,上古：侵,之,中古：之,勒,近代：齊微
欽,上古：侵,臸,中古：之,肋,近代：齊微
何,上古：歌,芝,中古：之,劇,近代：齊微
多,上古：歌,㞢,中古：之,勩,近代：齊微
櫟,上古：藥,飴,中古：之,匿,近代：齊微
駁,上古：藥,𩛛,中古：之,居,近代：魚模
樂,上古：藥,䬮,中古：之,裾,近代：魚模
何,上古：歌,怡,中古：之,琚,近代：魚模
多,上古：歌,弬,中古：之,鶋,近代：魚模
棣,上古：質,媐,中古：之,車,近代：魚模
檖,上古：物,异,中古：之,駒,近代：魚模
醉,上古：物,㼢,中古：之,拘,近代：魚模
何,上古：歌,𣐵,中古：之,俱,近代：魚模
多,上古：歌,鏔,中古：之,諸,近代：魚模
衣,上古：微,圯,中古：之,邾,近代：魚模
袍,上古：幽,貽,中古：之,猪,近代：魚模
師,上古：脂,巸,中古：之,瀦,近代：魚模
矛,上古：幽,洍,中古：之,朱,近代：魚模
仇,上古：幽,𦣞,中古：之,姝,近代：魚模
衣,上古：微,𩠢,中古：之,株,近代：魚模
澤,上古：鐸,頤,中古：之,蛛,近代：魚模
師,上古：脂,詒,中古：之,誅,近代：魚模
戟,上古：鐸,㺿,中古：之,珠,近代：魚模
作,上古：鐸,沶,中古：之,侏,近代：魚模
衣,上古：微,宧,中古：之,蘇,近代：魚模
裳,上古：陽,𦚟,中古：之,酥,近代：魚模
師,上古：脂,䱌,中古：之,㢝,近代：魚模
兵,上古：陽,姬,中古：之,甦,近代：魚模
行,上古：陽,台,中古：之,逋,近代：魚模
陽,上古：陽,眙,中古：之,餔,近代：魚模
黃,上古：陽,瓵,中古：之,晡,近代：魚模
思,上古：之,時,中古：之,樞,近代：魚模
佩,上古：之,旹,中古：之,樗,近代：魚模
乎,上古：魚,塒,中古：之,攄,近代：魚模
渠,上古：魚,鼭,中古：之,粗,近代：魚模
餘,上古：魚,榯,中古：之,芻,近代：魚模
乎,上古：魚,蒔,中古：之,梳,近代：魚模
輿,上古：魚,鰣,中古：之,蔬,近代：魚模
簋,上古：幽,疑,中古：之,疏,近代：魚模
飽,上古：幽,嶷,中古：之,踈,近代：魚模
乎,上古：魚,觺,中古：之,虛,近代：魚模
輿,上古：魚,思,中古：之,墟,近代：魚模
湯,上古：陽,恖,中古：之,噓,近代：魚模
上,上古：陽,司,中古：之,㠊,近代：魚模
望,上古：陽,罳,中古：之,歔,近代：魚模
鼓,上古：魚,伺,中古：之,吁,近代：魚模
下,上古：魚,絲,中古：之,蛆,近代：魚模
夏,上古：魚,緦,中古：之,趍,近代：魚模
羽,上古：魚,𥯨,中古：之,疽,近代：魚模
缶,上古：幽,禗,中古：之,沮,近代：魚模
道,上古：幽,覗,中古：之,趄,近代：魚模
翿,上古：幽,㺇,中古：之,苴,近代：魚模
栩,上古：魚,𥄶,中古：之,狙,近代：魚模
下,上古：魚,蕬,中古：之,雎,近代：魚模
差,上古：歌,偲,中古：之,孤,近代：魚模
原,上古：元,楒,中古：之,姑,近代：魚模
麻,上古：歌,輜,中古：之,辜,近代：魚模
娑,上古：歌,颸,中古：之,鴣,近代：魚模
逝,上古：月,其,中古：之,酤,近代：魚模
邁,上古：月,期,中古：之,沽,近代：魚模
荍,上古：幽,旗,中古：之,蛄,近代：魚模
椒,上古：幽,綦,中古：之,菰,近代：魚模
遲,上古：脂,綨,中古：之,觚,近代：魚模
饑,上古：脂,𢃛,中古：之,枯,近代：魚模
魴,上古：陽,萁,中古：之,刳,近代：魚模
薑,上古：陽,𧯯,中古：之,迂,近代：魚模
鯉,上古：之,蜝,中古：之,紆,近代：魚模
子,上古：之,琪,中古：之,於,近代：魚模
池,上古：歌,麒,中古：之,汙,近代：魚模
麻,上古：歌,騏,中古：之,嗚,近代：魚模
歌,上古：歌,淇,中古：之,烏,近代：魚模
紵,上古：魚,䳢,中古：之,書,近代：魚模
語,上古：魚,錤,中古：之,舒,近代：魚模
菅,上古：元,藄,中古：之,輸,近代：魚模
言,上古：元,棊,中古：之,紓,近代：魚模
楊,上古：陽,櫀,中古：之,區,近代：魚模
牂,上古：陽,碁,中古：之,軀,近代：魚模
煌,上古：陽,𤪌,中古：之,驅,近代：魚模
肺,上古：月,璂,中古：之,嶇,近代：魚模
晢,上古：月,鯕,中古：之,貙,近代：魚模
斯,上古：支,蘄,中古：之,須,近代：魚模
知,上古：支,祺,中古：之,��,近代：魚模
已,上古：之,禥,中古：之,鬚,近代：魚模
矣,上古：之,踑,中古：之,胥,近代：魚模
萃,上古：物,𦪆,中古：之,需,近代：魚模
誶,上古：物,䑴,中古：之,繻,近代：魚模
顧,上古：魚,𢍁,中古：之,醑,近代：魚模
予,上古：魚,䶞,中古：之,膚,近代：魚模
巢,上古：宵,詩,中古：之,莩,近代：魚模
苕,上古：宵,邿,中古：之,夫,近代：魚模
忉,上古：宵,齝,中古：之,鈇,近代：魚模
甓,上古：錫,𪗪,中古：之,玞,近代：魚模
鷊,上古：錫,呞,中古：之,趺,近代：魚模
惕,上古：錫,䀢,中古：之,敷,近代：魚模
皎,上古：宵,而,中古：之,麩,近代：魚模
僚,上古：宵,栭,中古：之,孚,近代：魚模
糾,上古：幽,𣚊,中古：之,鄜,近代：魚模
悄,上古：宵,𨼏,中古：之,枹,近代：魚模
皓,上古：幽,陾,中古：之,桴,近代：魚模
懰,上古：幽,陑,中古：之,郛,近代：魚模
受,上古：幽,髵,中古：之,呼,近代：魚模
慅,上古：幽,峏,中古：之,初,近代：魚模
照,上古：宵,𨎪,中古：之,栲,近代：魚模
燎,上古：宵,輀,中古：之,都,近代：魚模
紹,上古：宵,𦠌,中古：之,租,近代：魚模
懆,上古：宵,胹,中古：之,廬,近代：魚模
林,上古：侵,𦓒,中古：之,閭,近代：魚模
南,上古：侵,𩰴,中古：之,驢,近代：魚模
林,上古：侵,洏,中古：之,臚,近代：魚模
南,上古：侵,鮞,中古：之,犢,近代：魚模
馬,上古：魚,耏,中古：之,蔞,近代：魚模
野,上古：魚,咡,中古：之,如,近代：魚模
駒,上古：侯,䎠,中古：之,茹,近代：魚模
株,上古：侯,誀,中古：之,鴽,近代：魚模
陂,上古：歌,鴯,中古：之,儒,近代：魚模
荷,上古：歌,欺,中古：之,薷,近代：魚模
何,上古：歌,娸,中古：之,襦,近代：魚模
