詩經韻腳字,上古韻部,廣韻字頭,中古韻部,中原音韻字頭,近代韻部
麟,上古：真,絨,中古：東,朧,近代：東鍾
居,上古：魚,弓,中古：東,櫳,近代：東鍾
禦,上古：鐸,躳,中古：東,瓏,近代：東鍾
方,上古：陽,躬,中古：東,豅,近代：東鍾
將,上古：陽,㴦,中古：東,礱,近代：東鍾
盈,上古：耕,宮,中古：東,聾,近代：東鍾
成,上古：耕,匑,中古：東,嚨,近代：東鍾
沚,上古：之,融,中古：東,膿,近代：東鍾
事,上古：之,肜,中古：東,農,近代：東鍾
中,上古：侵,瀜,中古：東,儂,近代：東鍾
宮,上古：侵,雄,中古：東,濃,近代：東鍾
僮,上古：東,熊,中古：東,穠,近代：東鍾
公,上古：東,瞢,中古：東,醲,近代：東鍾
祁,上古：脂,夢,中古：東,重,近代：東鍾
歸,上古：微,鄸,中古：東,蟲,近代：東鍾
蟲,上古：侵,懜,中古：東,慵,近代：東鍾
螽,上古：侵,𦫰,中古：東,鱅,近代：東鍾
子,上古：之,𧲎,中古：東,崇,近代：東鍾
忡,上古：侵,穹,中古：東,馮,近代：東鍾
止,上古：之,𢞏,中古：東,逢,近代：東鍾
止,上古：之,焪,中古：東,縫,近代：東鍾
降,上古：侵,芎,中古：東,叢,近代：東鍾
蕨,上古：月,𦵡,中古：東,䕺,近代：東鍾
子,上古：之,匑,中古：東,琮,近代：東鍾
惙,上古：月,𥳎,中古：東,熊,近代：東鍾
止,上古：之,窮,中古：東,雄,近代：東鍾
止,上古：之,藭,中古：東,墉,近代：東鍾
說,上古：月,𥨪,中古：東,容,近代：東鍾
薇,上古：微,馮,中古：東,鏞,近代：東鍾
子,上古：之,堸,中古：東,溶,近代：東鍾
悲,上古：微,汎,中古：東,蓉,近代：東鍾
止,上古：之,芃,中古：東,鎔,近代：東鍾
止,上古：之,𨝭,中古：東,瑢,近代：東鍾
夷,上古：脂,渢,中古：東,庸,近代：東鍾
蘋,上古：真,梵,中古：東,傭,近代：東鍾
濱,上古：真,風,中古：東,鄘,近代：東鍾
藻,上古：宵,飌,中古：東,融,近代：東鍾
潦,上古：宵,楓,中古：東,榮,近代：東鍾
筥,上古：魚,猦,中古：東,蒙,近代：東鍾
釜,上古：魚,偑,中古：東,濛,近代：東鍾
下,上古：魚,檒,中古：東,朦,近代：東鍾
女,上古：魚,𧆉,中古：東,矇,近代：東鍾
伐,上古：月,豐,中古：東,甍,近代：東鍾
茇,上古：月,酆,中古：東,盲,近代：東鍾
敗,上古：月,蘴,中古：東,瞢,近代：東鍾
憩,上古：月,灃,中古：東,萌,近代：東鍾
拜,上古：月,寷,中古：東,弘,近代：東鍾
說,上古：月,麷,中古：東,紅,近代：東鍾
露,上古：鐸,㒥,中古：東,谼,近代：東鍾
夜,上古：鐸,㠦,中古：東,虹,近代：東鍾
露,上古：鐸,充,中古：東,洪,近代：東鍾
角,上古：屋,珫,中古：東,鴻,近代：東鍾
屋,上古：屋,茺,中古：東,宏,近代：東鍾
獄,上古：屋,㤝,中古：東,綋,近代：東鍾
獄,上古：屋,䘪,中古：東,橫,近代：東鍾
足,上古：屋,𪎽,中古：東,嶸,近代：東鍾
牙,上古：魚,㳘,中古：東,蓬,近代：東鍾
墉,上古：東,隆,中古：東,篷,近代：東鍾
家,上古：魚,癃,中古：東,芃,近代：東鍾
訟,上古：東,𪔳,中古：東,髼,近代：東鍾
訟,上古：東,窿,中古：東,彭,近代：東鍾
從,上古：東,霳,中古：東,棚,近代：東鍾
皮,上古：歌,㚅,中古：東,鵬,近代：東鍾
紽,上古：歌,空,中古：東,從,近代：東鍾
蛇,上古：歌,箜,中古：東,懂,近代：東鍾
革,上古：職,崆,中古：東,董,近代：東鍾
緎,上古：職,椌,中古：東,腫,近代：東鍾
食,上古：職,硿,中古：東,踵,近代：東鍾
縫,上古：東,䅝,中古：東,種,近代：東鍾
總,上古：東,悾,中古：東,冡,近代：東鍾
公,上古：東,埪,中古：東,㲨,近代：東鍾
陽,上古：陽,倥,中古：東,孔,近代：東鍾
遑,上古：陽,涳,中古：東,恐,近代：東鍾
子,上古：之,鵼,中古：東,桶,近代：東鍾
哉,上古：之,𦱇,中古：東,統,近代：東鍾
側,上古：職,𢃐,中古：東,汞,近代：東鍾
息,上古：職,𧌆,中古：東,嗊,近代：東鍾
子,上古：之,公,中古：東,隴,近代：東鍾
哉,上古：之,功,中古：東,壠,近代：東鍾
下,上古：魚,工,中古：東,篢,近代：東鍾
處,上古：魚,疘,中古：東,攏,近代：東鍾
子,上古：之,蚣,中古：東,洶,近代：東鍾
哉,上古：之,玒,中古：東,詾,近代：東鍾
七,上古：質,釭,中古：東,聳,近代：東鍾
吉,上古：質,魟,中古：東,竦,近代：東鍾
三,上古：侵,攻,中古：東,拱,近代：東鍾
今,上古：侵,㓚,中古：東,鞏,近代：東鍾
塈,上古：物,愩,中古：東,珙,近代：東鍾
謂,上古：物,碽,中古：東,勇,近代：東鍾
星,上古：耕,篢,中古：東,擁,近代：東鍾
東,上古：東,蒙,中古：東,涌,近代：東鍾
征,上古：耕,冡,中古：東,踊,近代：東鍾
公,上古：東,濛,中古：東,悀,近代：東鍾
同,上古：東,𩦺,中古：東,永,近代：東鍾
星,上古：耕,艨,中古：東,俑,近代：東鍾
昴,上古：幽,䑃,中古：東,蠓,近代：東鍾
征,上古：耕,矇,中古：東,懵,近代：東鍾
裯,上古：幽,饛,中古：東,猛,近代：東鍾
猶,上古：幽,䰒,中古：東,艋,近代：東鍾
汜,上古：之,檬,中古：東,蜢,近代：東鍾
以,上古：之,𨢊,中古：東,總,近代：東鍾
以,上古：之,䴿,中古：東,捧,近代：東鍾
悔,上古：之,𨣘,中古：東,寵,近代：東鍾
渚,上古：魚,鸏,中古：東,冗,近代：東鍾
與,上古：魚,幪,中古：東,噥,近代：東鍾
與,上古：魚,罞,中古：東,唪,近代：東鍾
處,上古：魚,𢄐,中古：東,洞,近代：東鍾
沱,上古：歌,髳,中古：東,動,近代：東鍾
過,上古：歌,蠓,中古：東,棟,近代：東鍾
過,上古：歌,𦿏,中古：東,凍,近代：東鍾
歌,上古：歌,雺,中古：東,蝀,近代：東鍾
麕,上古：文,霿,中古：東,鳳,近代：東鍾
苞,上古：幽,霚,中古：東,奉,近代：東鍾
春,上古：文,朦,中古：東,諷,近代：東鍾
誘,上古：幽,䀄,中古：東,縫,近代：東鍾
樕,上古：屋,懜,中古：東,貢,近代：東鍾
鹿,上古：屋,靀,中古：東,共,近代：東鍾
束,上古：屋,籠,中古：東,供,近代：東鍾
玉,上古：屋,豅,中古：東,宋,近代：東鍾
脫,上古：月,㰍,中古：東,送,近代：東鍾
帨,上古：月,朧,中古：東,鞣,近代：東鍾
吠,上古：月,𡃡,中古：東,弄,近代：東鍾
華,上古：魚,龓,中古：東,哢,近代：東鍾
車,上古：魚,䪊,中古：東,礱,近代：東鍾
李,上古：之,瀧,中古：東,控,近代：東鍾
子,上古：之,聾,中古：東,空,近代：東鍾
緡,上古：文,𨏠,中古：東,鞚,近代：東鍾
孫,上古：文,礱,中古：東,訟,近代：東鍾
葭,上古：魚,䆍,中古：東,誦,近代：東鍾
豝,上古：魚,𪚗,中古：東,頌,近代：東鍾
虞,上古：魚,嚨,中古：東,甕,近代：東鍾
蓬,上古：東,蘢,中古：東,��,近代：東鍾
豵,上古：東,櫳,中古：東,��,近代：東鍾
虞,上古：魚,𤮨,中古：東,痛,近代：東鍾
舟,上古：幽,巃,中古：東,慟,近代：東鍾
流,上古：幽,襱,中古：東,眾,近代：東鍾
憂,上古：幽,𧙥,中古：東,中,近代：東鍾
遊,上古：幽,瓏,中古：東,仲,近代：東鍾
茹,上古：魚,曨,中古：東,重,近代：東鍾
據,上古：魚,鸗,中古：東,種,近代：東鍾
愬,上古：鐸,𩟭,中古：東,縱,近代：東鍾
怒,上古：魚,蠪,中古：東,從,近代：東鍾
石,上古：鐸,㟅,中古：東,粽,近代：東鍾
轉,上古：元,屸,中古：東,夢,近代：東鍾
席,上古：鐸,洪,中古：東,孟,近代：東鍾
卷,上古：元,鉷,中古：東,用,近代：東鍾
選,上古：元,訌,中古：東,詠,近代：東鍾
悄,上古：宵,紅,中古：東,瑩,近代：東鍾
小,上古：宵,虹,中古：東,哄,近代：東鍾
少,上古：宵,仜,中古：東,鬨,近代：東鍾
摽,上古：宵,鴻,中古：東,橫,近代：東鍾
微,上古：微,葒,中古：東,綜,近代：東鍾
衣,上古：微,葓,中古：東,迸,近代：東鍾
飛,上古：微,谼,中古：東,銃,近代：東鍾
裡,上古：之,䉺,中古：東,姜,近代：江陽
已,上古：之,烘,中古：東,江,近代：江陽
裳,上古：陽,洚,中古：東,杠,近代：江陽
亡,上古：陽,渱,中古：東,釭,近代：江陽
絲,上古：之,𨹁,中古：東,薑,近代：江陽
治,上古：之,魟,中古：東,疆,近代：江陽
訧,上古：之,䧆,中古：東,韁,近代：江陽
風,上古：侵,䪦,中古：東,殭,近代：江陽
心,上古：侵,𦏺,中古：東,僵,近代：江陽
飛,上古：微,䫹,中古：東,梆,近代：江陽
羽,上古：魚,𨾊,中古：東,邦,近代：江陽
歸,上古：微,叢,中古：東,幫,近代：江陽
野,上古：魚,藂,中古：東,桑,近代：江陽
雨,上古：魚,䕺,中古：東,喪,近代：江陽
飛,上古：微,潀,中古：東,雙,近代：江陽
頏,上古：陽,𥵫,中古：東,艭,近代：江陽
歸,上古：微,翁,中古：東,霜,近代：江陽
將,上古：陽,螉,中古：東,孀,近代：江陽
及,上古：緝,䱵,中古：東,鸘,近代：江陽
泣,上古：緝,蓊,中古：東,驦,近代：江陽
飛,上古：微,䈵,中古：東,章,近代：江陽
音,上古：侵,䩺,中古：東,漳,近代：江陽
歸,上古：微,㮬,中古：東,獐,近代：江陽
南,上古：侵,𩔚,中古：東,樟,近代：江陽
心,上古：侵,悤,中古：東,璋,近代：江陽
淵,上古：真,忩,中古：東,彰,近代：江陽
身,上古：真,蔥,中古：東,麞,近代：江陽
人,上古：真,樬,中古：東,張,近代：江陽
土,上古：魚,䡯,中古：東,商,近代：江陽
處,上古：魚,聰,中古：東,傷,近代：江陽
顧,上古：魚,𦇎,中古：東,殤,近代：江陽
冒,上古：幽,璁,中古：東,觴,近代：江陽
好,上古：幽,驄,中古：東,湯,近代：江陽
報,上古：幽,蟌,中古：東,漿,近代：江陽
方,上古：陽,囪,中古：東,螿,近代：江陽
良,上古：陽,𨣼,中古：東,將,近代：江陽
忘,上古：陽,鏓,中古：東,莊,近代：江陽
出,上古：物,熜,中古：東,粧,近代：江陽
