字號,字,韻部,聲調,字母,清濁,寧繼福擬音,url
681,而,支思,陽平,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
682,洏,支思,陽平,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
683,慈,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
684,鶿,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
685,磁,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
686,兹,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
687,餈,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
688,茨,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
689,疵,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
690,玼,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
691,茈,支思,陽平,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
692,時,支思,陽平,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
693,塒,支思,陽平,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
694,鰣,支思,陽平,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
695,匙,支思,陽平,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
696,詞,支思,陽平,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
697,祠,支思,陽平,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
698,辭,支思,陽平,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
699,辤,支思,陽平,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
700,祉,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
701,紙,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
702,砥,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
703,底,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
704,旨,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
705,指,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
706,止,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
707,沚,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
708,芷,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
709,趾,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
710,阯,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
711,址,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
712,徵,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
713,咫,支思,上聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
714,爾,支思,上聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
715,邇,支思,上聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
716,耳,支思,上聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
717,珥,支思,上聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
718,餌,支思,上聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
719,駬,支思,上聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
720,此,支思,上聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
721,玼,支思,上聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
722,跐,支思,上聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
723,泚,支思,上聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
724,史,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
725,駛,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
726,使,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
727,弛,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
728,豕,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
729,矢,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
730,始,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
731,屎,支思,上聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
732,子,支思,上聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
733,紫,支思,上聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
734,姊,支思,上聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
735,梓,支思,上聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
736,死,支思,上聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
737,齒,支思,上聲,穿,次清,ʈʂʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
738,澁,支思,入上,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
739,澀,支思,入上,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
740,瑟,支思,入上,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
741,塞,支思,入上,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665a.png
742,是,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
743,謚,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
744,氏,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
745,視,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
746,市,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
747,柿,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
748,侍,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
749,士,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
750,仕,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
751,使,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
752,示,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
753,蒔,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
754,恃,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
755,事,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
756,施,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
757,嗜,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
758,豉,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
759,試,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
760,弒,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
761,筮,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
762,噬,支思,去聲,審,全清,ʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
763,似,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
764,笥,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
765,兕,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
766,駟,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
767,賜,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
768,姒,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
769,巳,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
770,汜,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
771,祀,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
772,嗣,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
773,肆,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
774,飼,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
775,耜,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
776,涘,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
777,俟,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
778,寺,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
779,食,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
780,思,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
781,四,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
782,泗,支思,去聲,心,全清,sï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
783,次,支思,去聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
784,刺,支思,去聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
785,莿,支思,去聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
786,字,支思,去聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
787,漬,支思,去聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
788,牸,支思,去聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
789,自,支思,去聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
790,恣,支思,去聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
791,骴,支思,去聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
792,胔,支思,去聲,精,全清,tsï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
793,志,支思,去聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
794,至,支思,去聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
795,誌,支思,去聲,照,全清,tʂï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
796,二,支思,去聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
797,貳,支思,去聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
798,餌,支思,去聲,日,次濁,ɽï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
799,翅,支思,去聲,穿,次清,ʈʂʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
800,廁,支思,去聲,清,次清,tsʼï,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665b.png
801,機,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
802,箕,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
803,幾,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
804,磯,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
805,璣,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
806,譏,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
807,肌,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
808,飢,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
809,笄,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
810,朞,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
811,基,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
812,雞,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
813,稽,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
814,饑,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
815,姬,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
816,奇,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
817,羈,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
818,羇,齊微,陰平,見,全清,ki,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
819,歸,齊微,陰平,見,全清,kui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
820,圭,齊微,陰平,見,全清,kui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
821,邽,齊微,陰平,見,全清,kui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
822,龜,齊微,陰平,見,全清,kui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
823,閨,齊微,陰平,見,全清,kui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
824,規,齊微,陰平,見,全清,kui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
825,虀,齊微,陰平,精,全清,tsi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
826,齎,齊微,陰平,精,全清,tsi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
827,擠,齊微,陰平,精,全清,tsi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
828,躋,齊微,陰平,精,全清,tsi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
829,雖,齊微,陰平,心,全清,sui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
830,荽,齊微,陰平,心,全清,sui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
831,綏,齊微,陰平,心,全清,sui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
832,雎,齊微,陰平,心,全清,sui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
833,尿,齊微,陰平,心,全清,sui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
834,低,齊微,陰平,端,全清,ti,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
835,堤,齊微,陰平,端,全清,ti,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
836,磾,齊微,陰平,端,全清,ti,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
837,眡,齊微,陰平,端,全清,ti,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
838,氐,齊微,陰平,端,全清,ti,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
839,羝,齊微,陰平,端,全清,ti,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
840,妻,齊微,陰平,清,次清,tsʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
841,凄,齊微,陰平,清,次清,tsʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
842,萋,齊微,陰平,清,次清,tsʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
843,棲,齊微,陰平,清,次清,tsʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
844,悽,齊微,陰平,清,次清,tsʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
845,西,齊微,陰平,心,全清,si,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
846,犀,齊微,陰平,心,全清,si,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
847,嘶,齊微,陰平,心,全清,si,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
848,灰,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
849,揮,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
850,暉,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
851,輝,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
852,翬,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
853,麾,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
854,徽,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
855,豗,齊微,陰平,曉,全清,xui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
856,杯,齊微,陰平,幫,全清,pui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
857,悲,齊微,陰平,幫,全清,pui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
858,卑,齊微,陰平,幫,全清,pui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
859,碑,齊微,陰平,幫,全清,pui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
860,陂,齊微,陰平,幫,全清,pui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
861,追,齊微,陰平,照,全清,tʂui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
862,騅,齊微,陰平,照,全清,tʂui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
863,錐,齊微,陰平,照,全清,tʂui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
864,威,齊微,陰平,影,全清,ui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
865,偎,齊微,陰平,影,全清,ui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
866,隈,齊微,陰平,影,全清,ui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
867,煨,齊微,陰平,影,全清,ui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
868,扉,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
869,緋,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
870,騑,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
871,馡,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
872,菲,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
873,霏,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
874,妃,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
875,飛,齊微,陰平,非,全清,fui,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
876,溪,齊微,陰平,溪,次清,kʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
877,欺,齊微,陰平,溪,次清,kʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
878,欹,齊微,陰平,溪,次清,kʼi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
879,僖,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
880,希,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
881,稀,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
882,豨,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
883,羲,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
884,曦,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
885,犧,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
886,醯,齊微,陰平,曉,全清,xi,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0665c.png
